Temperature	DailyMeanTemperature	NightTemperature	Rainfall	WindSpeed	DailyMeanIrradiance	MeanIrradiance	SaturatedVapourPressure	VapourPressure	VaporPressureDeficit	DailyVapourPressureDeficit	DailyMeanVapourPressureDeficit
24.703	26.096	23.547	26.256	0.947	299.948	175.032	3.128	2.975	0.153	0.275	0.402
23.655	25.949	22.884	19.392	0.918	266.859	93.945	2.929	2.82	0.11	0.18	0.469
24.382	26.619	23.371	5.656	0.661	312.077	153.578	3.064	2.937	0.127	0.199	0.6
23.987	26.195	23	14.544	0.717	294.543	127.295	2.993	2.899	0.093	0.168	0.454
25.398	26.397	23.576	0.202	1.103	353.995	200.438	3.27	2.799	0.471	0.764	0.596
24.503	26.805	22.097	0	1.002	319.512	215.049	3.135	2.654	0.481	0.858	0.756
24.78	26.504	22.981	3.434	0.81	295.432	173.809	3.158	2.889	0.269	0.494	0.516
23.914	25.666	23.123	8.686	0.958	316.437	150.541	2.977	2.842	0.135	0.233	0.376
23.829	25.693	22.757	1.212	0.794	294.172	102.594	2.965	2.789	0.176	0.313	0.435
23.591	25.334	22.298	9.09	0.979	254.374	152.99	2.927	2.766	0.162	0.274	0.296
23.505	25.892	22.495	29.29	0.775	244.078	137.569	2.91	2.801	0.109	0.199	0.385
23.94	26.113	23.107	5.05	0.9	275.281	109.296	2.982	2.886	0.097	0.175	0.472
25.476	26.931	23.838	10.302	1.386	326.827	176.103	3.286	2.92	0.366	0.642	0.65
25.466	26.217	23.918	0	0.981	251.015	162.75	3.279	2.886	0.393	0.618	0.448
24.897	27.388	23.402	2.626	0.865	375.573	168.942	3.174	2.848	0.327	0.529	0.726
24.585	27.846	22.661	14.948	0.895	410.408	192.596	3.127	2.836	0.291	0.542	0.929
23.36	26.345	22.68	34.744	0.809	323.359	118.007	2.876	2.797	0.079	0.146	0.607
23.284	26.136	22.452	4.646	0.541	304.687	110.886	2.865	2.779	0.087	0.159	0.549
23.823	25.907	22.473	1.01	0.868	308.14	149.632	2.969	2.768	0.2	0.321	0.438
24.271	27.163	22.295	2.222	0.918	366.497	176.55	3.066	2.789	0.278	0.486	0.816
23.604	26.285	22.743	15.15	0.811	327.913	113.831	2.928	2.781	0.147	0.249	0.639
24.825	27.007	23.397	4.646	0.871	331.728	169.686	3.156	2.864	0.292	0.512	0.695
23.238	26.324	22.27	26.87	0.913	301.833	101.43	2.859	2.772	0.087	0.153	0.521
23.53	25.469	22.654	18.988	0.878	237.298	96.362	2.91	2.842	0.069	0.116	0.325
25.205	27.214	23.158	2.02	1.128	358.429	210.871	3.243	2.704	0.54	0.898	0.785
24.584	26.187	22.582	0.808	0.88	319.452	194.509	3.132	2.63	0.502	0.78	0.651
24.701	25.713	23.285	0	1.163	267.419	161.127	3.132	2.703	0.429	0.598	0.448
25.148	26.204	23.968	1.414	0.963	268.749	169.078	3.211	2.849	0.362	0.495	0.445
23.902	26.96	23.181	57.172	0.851	329.26	99.618	2.975	2.868	0.107	0.153	0.749
23.458	26.442	22.596	5.656	0.733	296.221	96.016	2.895	2.845	0.05	0.102	0.509
24	26.992	23	0	0.9	356.668	110	2.9	2.9	0.1	0.1	0.694
24	26.891	23	0	0.9	356.44	110	2.9	2.9	0.1	0.1	0.656
24	26.337	23	0	0.9	300.805	110	2.9	2.9	0.1	0.1	0.352
24	25.736	23	0	0.9	243.346	110	2.9	2.9	0.1	0.1	0.242
24	27.437	23	0	0.9	374.541	110	2.9	2.9	0.1	0.1	0.824
24	27.428	23	0	0.9	414.688	110	2.9	2.9	0.1	0.1	0.896
24	27.832	23	0	0.9	445.077	110	2.9	2.9	0.1	0.1	1.019
24	27.107	23	0	0.9	366.551	110	2.9	2.9	0.1	0.1	0.678
24	26.759	23	0	0.9	307.982	110	2.9	2.9	0.1	0.1	0.628
24.359	26.01	23.484	15.958	0.906	310.986	123.506	3.061	2.943	0.118	0.204	0.472
24.906	25.909	23.333	2.828	0.673	269.017	165.899	3.174	2.97	0.205	0.384	0.327
23.689	25.432	23.135	27.068	0.535	174.336	77.546	2.933	2.886	0.047	0.081	0.275
23.68	25.206	23.14	12.322	0.921	189.721	89.004	2.931	2.864	0.066	0.107	0.267
24.008	25.195	23.206	14.948	0.927	225.505	144.505	2.995	2.899	0.096	0.152	0.231
24.468	26.263	23.423	5.656	1.277	342.957	156.149	3.078	2.886	0.192	0.318	0.382
24.16	25.582	23.257	27.876	0.603	246.089	127.802	3.024	2.913	0.112	0.202	0.266
24.539	27.14	22.998	6.464	0.936	439.677	184.143	3.103	2.879	0.224	0.392	0.699
24.785	27.301	22.159	0	0.885	386.593	237.892	3.194	2.651	0.543	0.979	0.926
24.563	26.699	22.278	0	0.958	357.316	203.656	3.136	2.637	0.499	0.851	0.747
24.202	26.704	21.959	0	0.871	352.132	178.702	3.068	2.557	0.511	0.853	0.751
23.853	26.722	21.762	0.202	0.807	328.642	174.98	3.004	2.631	0.373	0.66	0.681
25.04	27.735	22.555	0	0.691	442.467	240.609	3.245	2.698	0.546	0.967	0.971
24.246	27.487	22.288	56.972	1.294	378.485	188.325	3.072	2.782	0.29	0.54	0.845
23.999	26.921	22.339	0.606	0.897	346.654	173.372	3.008	2.775	0.233	0.401	0.773
24.858	27.92	22.298	0	1.112	426.648	228.292	3.203	2.652	0.551	0.959	1.047
24.485	26.654	22.438	3.232	0.905	327.431	197.041	3.115	2.827	0.287	0.521	0.573
24.532	25.324	23.246	33.33	1.078	205.322	137.01	3.098	2.933	0.165	0.3	0.249
25.484	27.096	23.735	0.606	1.108	347.329	207.755	3.285	2.906	0.379	0.67	0.658
24.269	25.225	23.39	33.332	0.712	215.456	110.317	3.04	2.973	0.067	0.124	0.209
24.8	26.712	23.684	10.1	0.878	334.672	126.571	3.142	3.033	0.109	0.203	0.511
23.706	25.91	23.044	14.948	0.48	273.628	73.14	2.936	2.899	0.037	0.067	0.37
23.987	27.658	22.833	2.222	0.706	368.933	136.643	3.001	2.867	0.134	0.254	0.773
23.653	26.36	23.429	30.702	0.663	246.128	45.389	2.926	2.899	0.027	0.051	0.441
24.385	27.221	23.277	22.828	0.697	291.879	98.724	3.069	2.957	0.112	0.217	0.55
24.124	26.742	23.355	15.554	0.612	289.887	106.988	3.012	2.951	0.061	0.116	0.443
24.383	25.895	23.009	4.444	0.876	227.362	121.664	3.073	2.923	0.15	0.265	0.281
24.541	26.031	23.499	23.23	0.991	240.55	155.661	3.095	2.966	0.13	0.238	0.312
23.922	25.564	23.294	27.27	0.943	224.668	106.186	2.977	2.926	0.051	0.098	0.236
24.739	26.224	23.265	22.628	0.874	268.071	148.184	3.136	3.014	0.123	0.233	0.316
25.606	26.707	23.936	1.414	1.261	304.276	175.342	3.309	3.011	0.298	0.513	0.395
25.499	26.697	24.151	2.828	0.937	302.016	149.106	3.283	3.046	0.237	0.419	0.421
25.632	27.632	23.733	0	0.919	365.324	191.301	3.32	2.978	0.343	0.609	0.631
25.665	27.434	23.483	0.202	1.089	374.053	195.839	3.339	2.85	0.489	0.846	0.72
25.908	28.113	23.66	0	1.143	413.28	208.895	3.388	2.868	0.521	0.872	0.816
25.483	27.148	23.296	0	0.992	340.813	193.866	3.302	2.785	0.518	0.856	0.732
24.577	26.479	22.97	2.626	0.912	296.512	140.88	3.106	2.887	0.219	0.384	0.466
24.283	26.653	23.391	8.888	0.662	338.092	120.633	3.045	2.958	0.087	0.144	0.486
25.778	28.482	24.181	3.232	1.146	435.735	199.686	3.34	2.962	0.378	0.583	0.971
25.509	27.09	23.816	0.404	0.699	325.332	132.455	3.287	2.951	0.336	0.543	0.573
24.895	27.671	23.437	4.646	0.838	355.187	150.828	3.176	2.972	0.205	0.374	0.752
23.868	25.846	22.906	17.372	0.693	255.68	97.863	2.971	2.901	0.07	0.132	0.321
24.63	26.259	23.359	8.282	0.779	267.356	147.755	3.116	2.998	0.118	0.208	0.318
23.994	26.739	23.287	19.796	0.797	291.842	93.848	2.988	2.919	0.069	0.111	0.451
24.749	27.011	22.453	0	1.09	351.725	203.708	3.164	2.683	0.482	0.889	0.781
24.083	26.905	22.565	5.454	0.812	337.356	122.887	3.02	2.852	0.168	0.309	0.522
24.649	26.915	23.177	7.272	1.058	348.044	164.587	3.123	2.976	0.147	0.271	0.457
25.566	26.459	24.16	21.816	0.829	279.578	185.399	3.298	3.094	0.205	0.382	0.34
25.205	27.533	23.917	11.918	0.765	401.707	158.635	3.221	3.047	0.174	0.322	0.643
25.384	28.299	23.796	0	0.703	416.016	185.183	3.265	2.88	0.384	0.677	1.037
24.724	27.207	23.429	3.636	0.674	395.655	168.32	3.136	2.919	0.217	0.389	0.681
25.249	27.419	23.753	18.378	0.964	337.666	172.972	3.238	3.038	0.2	0.377	0.589
23.782	25.15	23.333	34.942	0.339	169.372	59.097	2.948	2.931	0.017	0.032	0.161
24.618	26.492	23.543	11.716	0.954	318.355	145.049	3.107	3.018	0.089	0.173	0.381
24.951	26.197	23.362	32.116	0.755	277.507	166.746	3.189	3.014	0.175	0.339	0.329
25.029	26.635	23.692	12.726	0.659	323.623	154.622	3.195	3.026	0.168	0.325	0.443
24.709	26.738	23.51	13.128	0.448	309.846	128.267	3.127	3.006	0.121	0.235	0.488
24.213	26.789	23.043	8.484	0.58	355.436	106.701	3.037	2.933	0.104	0.199	0.507
24.716	27.564	23.458	10.1	0.59	380.743	124.364	3.128	3.008	0.119	0.229	0.718
24.141	26.254	23.067	9.494	0.73	246.968	97.172	3.021	2.956	0.065	0.127	0.363
23.275	26.08	22.872	64.232	0.943	255.19	97.876	2.861	2.801	0.06	0.112	0.455
24.564	27.449	23.048	17.574	0.685	391.616	166.453	3.111	2.941	0.171	0.32	0.671
24.211	25.782	22.782	20.806	0.743	277.511	134.049	3.048	2.9	0.148	0.286	0.35
23.451	25.656	22.537	13.942	0.891	275.708	139.064	2.907	2.813	0.094	0.186	0.298
24.524	26.149	23.407	33.124	0.78	259.1	125.307	3.094	3.009	0.085	0.167	0.357
24.054	25.386	23.71	55.348	0.731	181.824	63.968	2.996	2.961	0.035	0.061	0.198
23.811	25.576	23.639	24.038	0.56	189.703	64.152	2.953	2.924	0.029	0.056	0.325
24.761	26.667	23.634	3.03	0.553	283.961	129.387	3.138	2.973	0.165	0.303	0.46
25.213	27.182	23.845	3.03	0.715	287.3	142.273	3.226	3.023	0.204	0.392	0.546
25.285	27.152	23.389	12.322	0.648	306.074	194.081	3.264	2.978	0.285	0.544	0.576
25.603	27.353	23.486	0	1.042	374.408	226.211	3.329	2.935	0.394	0.674	0.653
25.098	26.731	23.308	0.404	0.811	345.401	172.133	3.218	2.945	0.273	0.504	0.482
24.385	26.891	23.015	11.918	0.855	344.849	128.78	3.077	2.932	0.145	0.278	0.575
24.13	26.607	23.257	29.088	0.387	319.191	90.015	3.015	2.971	0.045	0.089	0.564
24.911	26.96	23.709	1.01	0.774	334.911	165.973	3.17	2.957	0.213	0.396	0.564
25.053	27.605	23.264	1.414	0.829	375	180.654	3.214	2.943	0.271	0.52	0.787
25.215	26.716	23.287	0.202	1.066	337.326	211.759	3.249	2.922	0.327	0.613	0.583
24.383	26.438	23.117	30.098	0.798	353.613	135.384	3.079	2.923	0.156	0.299	0.562
24.596	26.468	23.696	5.252	0.561	303.475	109.02	3.105	2.997	0.108	0.203	0.508
24.804	26.889	23.614	15.756	0.895	369.348	152.744	3.147	2.993	0.154	0.296	0.593
23.832	26.434	22.586	22.824	0.523	319.455	102.447	2.967	2.899	0.068	0.133	0.525
24.27	26.013	22.947	6.868	0.918	301.99	132.893	3.051	2.917	0.134	0.255	0.366
24.427	26.432	23.137	4.242	0.726	339.546	123.944	3.078	2.973	0.104	0.201	0.435
23.542	25.696	23.02	9.898	0.758	232.209	62.093	2.908	2.879	0.028	0.057	0.43
24.85	26.71	22.617	0.202	0.888	377.002	214.079	3.185	2.84	0.346	0.641	0.68
24.609	26.102	22.833	0.202	0.955	351.319	165.061	3.128	2.862	0.266	0.503	0.537
24.43	26.41	22.794	10.504	0.574	361.615	160.772	3.09	2.874	0.215	0.416	0.528
24.401	26.367	22.557	0.606	1.085	352.081	183.458	3.089	2.838	0.251	0.458	0.502
23.527	25.348	22.098	14.744	0.987	260.308	118.353	2.92	2.805	0.114	0.22	0.292
24.64	26.609	22.387	0.202	0.995	359.523	182.424	3.148	2.781	0.367	0.674	0.672
24.302	25.813	22.724	7.07	0.867	299.949	153.16	3.069	2.884	0.185	0.354	0.453
24.966	27.558	22.808	1.01	0.767	414.191	197.793	3.206	2.847	0.359	0.688	0.839
24.261	27.279	23.128	23.028	0.681	375.288	133.302	3.046	2.938	0.109	0.21	0.763
23.966	27.323	22.484	6.666	1.041	395.283	164.986	3.008	2.809	0.199	0.38	0.814
24.596	26.431	22.889	2.222	0.949	351.046	189.634	3.117	2.883	0.234	0.438	0.539
23.965	25.526	22.607	12.924	0.96	304.032	155.847	3.001	2.832	0.169	0.325	0.434
24.347	24.794	22.526	7.676	0.894	254.491	162.528	3.082	2.838	0.243	0.469	0.25
25.038	25.531	22.499	0.202	0.878	345.946	228.719	3.236	2.691	0.545	0.981	0.451
24.258	24.842	22.486	7.878	1.068	261.915	156.341	3.063	2.81	0.253	0.471	0.294
24.749	25.165	22.804	0.606	0.744	315.386	189.365	3.164	2.912	0.252	0.467	0.374
25.489	25.809	22.926	0.202	1.021	272.877	232.542	3.324	2.708	0.616	1.106	0.4
25.397	25.097	23.027	0	1.215	210.352	233.529	3.311	2.741	0.57	1.001	0.241
25.69	26.262	23.067	0	0.995	282.226	229.458	3.363	2.721	0.642	1.115	0.429
25.257	26.981	23.184	0	0.841	399.273	216.177	3.276	2.642	0.634	1.047	0.691
24.748	27.587	23.136	8.484	0.997	416.825	192.685	3.148	2.898	0.25	0.459	0.86
24.655	27.478	23.024	6.868	0.747	335.006	160.569	3.133	2.93	0.203	0.389	0.719
25.19	27.247	23.102	0.404	0.864	353.862	205.236	3.248	2.826	0.421	0.745	0.631
26.016	27.846	23.656	0	1.062	407.455	210.362	3.419	2.755	0.664	1.097	0.888
25.775	27.527	23.511	0	0.993	438.352	184.826	3.372	2.791	0.582	0.987	0.852
24.376	27.269	23.261	13.13	0.948	382.459	135.332	3.067	2.939	0.127	0.214	0.724
24.954	27.392	23.199	1.414	0.938	365.936	164.228	3.19	2.898	0.293	0.53	0.78
25.011	26.527	23.505	11.514	0.83	337.665	121.658	3.195	2.921	0.274	0.511	0.573
23.587	24.934	22.86	7.676	0.93	241.132	104.512	2.924	2.817	0.107	0.207	0.339
24.394	27.18	22.94	8.282	0.75	391.498	151.43	3.084	2.846	0.238	0.435	0.79
24.982	27.747	23.336	10.302	0.951	419.596	177.98	3.192	2.949	0.243	0.469	0.873
23.668	26.71	22.646	17.772	0.565	360.803	110.444	2.94	2.852	0.088	0.167	0.664
23.751	25.548	22.721	18.99	0.625	305.832	112.255	2.955	2.862	0.093	0.181	0.398
23.745	25.676	22.646	34.544	0.771	296.574	110.949	2.954	2.851	0.102	0.189	0.393
24.585	27.583	23.122	3.636	1.03	400.634	172.289	3.114	2.957	0.157	0.303	0.777
24.368	27.357	22.916	3.636	0.659	348.929	126.385	3.067	2.959	0.107	0.208	0.721
24.488	26.607	22.739	0.202	0.613	369.133	167.398	3.1	2.899	0.201	0.375	0.559
24.238	26.707	22.404	1.212	0.869	410.666	182.048	3.062	2.813	0.249	0.476	0.719
24.846	27.558	22.95	0	0.889	411.298	182.954	3.174	2.865	0.309	0.564	0.941
24.498	27.406	22.719	1.212	0.539	439.273	178.947	3.115	2.845	0.271	0.511	0.873
25.096	27.366	23.167	10.504	0.637	448.596	206.285	3.236	2.887	0.348	0.667	0.859
24.965	27.674	23.253	5.656	0.849	435.93	196.334	3.201	2.937	0.264	0.506	0.922
25.412	28.925	23.107	0.202	0.924	477.531	228.36	3.308	2.823	0.485	0.898	1.33
25.143	27.271	23.787	2.222	0.875	368.571	165.753	3.223	2.959	0.264	0.473	0.726
25.916	27.535	23.879	0	1.173	398.273	221.924	3.388	2.888	0.5	0.914	0.79
24.661	27.46	22.59	5.05	0.802	406.307	195.141	3.157	2.818	0.339	0.649	0.927
24.858	27.43	22.81	0	0.845	398.246	188.707	3.187	2.816	0.371	0.633	0.86
26.197	28.697	23.893	0	0.922	456.256	223.244	3.452	2.766	0.687	1.161	1.202
24.77	26.517	22.739	5.252	1.055	361.07	198.356	3.168	2.826	0.341	0.636	0.649
24.269	26.78	22.979	8.888	0.658	380.753	117.152	3.05	2.939	0.111	0.213	0.596
25.176	27.353	22.886	0	0.812	380.627	194.436	3.248	2.771	0.477	0.809	0.805
24.656	26.782	22.36	0.404	0.729	382.633	198.757	3.166	2.704	0.462	0.823	0.817
24.978	27.8	22.441	1.414	0.875	436.956	202.276	3.223	2.807	0.415	0.783	0.946
23.969	27.416	22.257	6.06	1.063	404.529	169.886	3.017	2.793	0.224	0.43	0.92
24.592	28.363	22.425	0	0.769	455.704	189.368	3.145	2.792	0.353	0.632	1.249
24.179	27.372	22.678	8.08	0.818	398.61	129.413	3.046	2.808	0.239	0.432	0.949
23.759	27.203	22.174	9.292	0.765	371.599	120.231	2.97	2.819	0.152	0.292	0.805
25.165	28.298	22.853	0.202	0.718	433.697	198.552	3.263	2.791	0.472	0.786	1.024
25.332	27.632	23.749	1.01	0.668	387.407	134.004	3.254	2.979	0.275	0.486	0.827
25.721	27.579	23.899	0	0.614	305.645	132.448	3.334	2.982	0.352	0.614	0.766
26.25	29.142	24.366	0	0.973	451.181	191.885	3.45	2.975	0.475	0.833	1.227
25.215	28.318	23.453	24.238	0.874	410.301	165.023	3.238	2.948	0.29	0.547	1.084
23.98	27.633	22.937	9.494	0.693	383.065	102.389	2.99	2.914	0.076	0.146	0.91
24.981	28.475	22.856	9.494	0.563	416.299	180.805	3.216	2.937	0.279	0.534	1.098
24.4	27.687	22.588	2.02	0.639	388.707	157.189	3.093	2.899	0.193	0.373	0.905
26.025	29.17	23.66	0	0.765	475.237	231.194	3.42	2.882	0.538	0.92	1.332
25.96	29.495	23.831	0	0.845	465.085	234.523	3.399	2.811	0.588	1.016	1.39
25.169	28.969	23.218	0	0.978	396.813	180.848	3.247	2.845	0.402	0.699	1.173
26.241	29.608	23.653	11.716	0.825	469.804	209.4	3.471	2.988	0.484	0.877	1.279
26.207	28.772	24.096	2.828	0.844	444.65	231.543	3.454	2.922	0.532	0.851	1.112
26.826	28.681	24.927	0	1.002	440.847	216.461	3.57	2.841	0.729	1.136	1.194
25.936	27.935	23.773	0	0.74	400.121	221.257	3.412	2.887	0.525	0.925	1.029
26.122	28.48	24.031	0	0.933	397.919	201.517	3.434	2.98	0.454	0.798	1.034
24.917	27.764	23.202	12.318	0.961	407.935	155.578	3.182	2.972	0.211	0.393	0.812
26.335	29.11	24.092	0.202	1.148	470.147	211.702	3.481	2.888	0.593	0.982	1.297
26.259	29.288	24.279	0	1.02	475.383	222.695	3.45	2.849	0.601	1.001	1.448
25.319	28.327	22.786	0	0.939	457.204	270.617	3.308	2.622	0.685	1.167	1.255
26.42	28.987	24.574	0	0.904	423.013	182.539	3.484	2.955	0.529	0.831	1.145
26.436	29.333	24.547	0	0.939	463.358	230.425	3.501	2.889	0.611	0.975	1.349
27.41	29.738	25.365	0	1.004	496.846	236.357	3.697	2.965	0.733	1.139	1.425
25.938	28.306	24.065	4.444	0.988	433.649	197.23	3.396	2.932	0.464	0.792	1.059
26.262	28.636	23.98	0	0.982	473.888	236.471	3.474	2.906	0.568	0.976	1.195
26.091	28.636	23.587	0.606	0.9	462.632	235.986	3.446	2.88	0.566	1.049	1.101
25.749	27.397	23.196	0	0.89	379.681	230.175	3.375	2.719	0.655	1.147	0.937
25.977	28.821	23.292	0	0.964	477.549	260.935	3.423	2.585	0.838	1.385	1.321
25.585	28.839	22.81	0	1.198	476.005	233.127	3.364	2.548	0.816	1.354	1.267
25.38	28.833	22.381	0	0.838	474.676	246.309	3.33	2.592	0.738	1.289	1.287
26.218	28.948	23.514	0	0.767	474.406	243.149	3.489	2.752	0.738	1.254	1.297
26.9	28.898	24.134	0	0.974	439.315	243.816	3.634	2.829	0.806	1.325	1.235
25.876	28.826	22.824	5.05	1.039	398.445	216.408	3.419	2.857	0.562	1.051	1.114
25.538	28.67	22.697	5.454	0.887	416.901	188.014	3.336	2.903	0.433	0.83	1.102
26.551	27.913	24.158	0.202	0.804	447.438	238.244	3.531	2.935	0.596	1.04	0.944
26.423	29.281	23.972	0	1.032	485.774	227.42	3.51	2.769	0.741	1.207	1.435
26.868	29.489	24.67	0	0.938	483.78	218.234	3.586	2.781	0.804	1.272	1.469
26.369	29.702	23.745	0	1.043	492.613	227.724	3.506	2.707	0.799	1.311	1.542
25.566	28.711	23.338	10.1	0.794	462.145	196.065	3.337	2.815	0.523	0.911	1.279
25.787	29.111	23.316	0	1.117	508.343	247.906	3.395	2.673	0.722	1.107	1.442
26.429	29.378	24.005	0	0.887	494.435	244.661	3.524	2.697	0.827	1.295	1.506
26.789	29.196	24.585	0	0.765	456.507	224.095	3.574	2.787	0.787	1.244	1.393
27.274	29.525	24.913	0	0.943	494.168	235.399	3.679	2.711	0.968	1.465	1.565
26.459	28.74	23.884	0	1.332	481.861	206.093	3.512	2.653	0.859	1.369	1.406
25.05	28.337	22.582	2.626	1.441	399.658	197.168	3.235	2.814	0.421	0.752	1.136
25.285	29.316	22.981	5.454	0.937	433.853	169.557	3.277	2.926	0.351	0.674	1.297
26.344	29.814	23.843	0	0.937	482.211	229.702	3.504	2.862	0.642	1.102	1.485
26.177	29	23.707	1.818	0.911	440.518	233.923	3.459	2.898	0.561	1.023	1.376
26.381	29.541	24.096	0	0.905	497.309	230.185	3.498	2.8	0.698	1.134	1.441
26.567	29.144	24.407	0	0.874	484.358	209.585	3.524	2.762	0.762	1.193	1.455
26.788	29.519	24.483	0	1.158	483.245	219.065	3.575	2.66	0.915	1.388	1.662
25.803	29.283	22.872	0	1.065	466.266	223.615	3.405	2.655	0.75	1.326	1.564
26.315	29.225	23.448	0	1.029	456.777	231.686	3.508	2.728	0.78	1.341	1.387
27.542	29.29	25.27	0	0.765	446.254	234.734	3.746	2.829	0.917	1.401	1.387
26.422	29.186	24.243	2.02	0.831	416.839	192.3	3.497	2.967	0.53	0.937	1.21
26.213	28.911	23.756	1.212	1.355	431.376	248.234	3.472	2.988	0.484	0.913	1.157
26.219	28.658	23.893	0.808	1.003	397.772	193.706	3.456	3.03	0.427	0.803	0.963
26.314	29.228	23.783	0.404	0.891	454.473	217.815	3.491	3.005	0.486	0.878	1.26
27.406	29.345	25.379	0	0.865	486.721	195.494	3.695	2.94	0.754	1.171	1.414
27.372	29.742	24.83	0	1.077	476.645	242.24	3.713	2.817	0.896	1.44	1.506
27.319	29.711	25.054	0	1.092	457.28	208.48	3.694	2.784	0.91	1.357	1.47
27.215	29.712	24.882	0	1.164	489.345	221.72	3.665	2.71	0.955	1.471	1.574
26.853	29.86	24.184	0	1.214	530.585	258.601	3.605	2.618	0.986	1.61	1.746
25.158	29.348	22.786	4.04	1.049	479.625	211.198	3.26	2.8	0.46	0.826	1.583
26.905	29.396	24.274	0	1.196	439.111	222.288	3.621	2.812	0.809	1.329	1.426
27.241	29.717	24.545	0	1.183	494.816	241.247	3.689	2.844	0.846	1.424	1.452
27.041	29.364	24.285	0	1.065	462.544	221.789	3.646	2.832	0.814	1.385	1.418
